Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Region_Asia,Region_Central America and Caribbean,Region_European Union,Region_Middle East,Region_North America,Region_Oceania,Region_Rest of Europe,Region_South America
2004,35.6,44.4,195.7445,2.38,87,83,25.4,88,87,1.3099644507332473,8.096512917501594,2.615934912194404,1.4,1.4,3.6,0,1,0,1,0,0,0,0,0,0
2008,2.7,3.3,92.96,10.26,88,92,25.9,97,99,1.0832870676749586,10.744192297453688,1.8421356765531218,0.9,0.8,12.2,1,0,0,0,1,0,0,0,0,0
2002,18.0,21.1,166.4425,3.61,98,96,25.8,99,99,2.3163669767810915,8.504107951867582,1.3056264580524357,2.0,1.8,7.7,0,1,0,1,0,0,0,0,0,0
2000,30.8,37.8,184.963,2.23,87,65,28.8,85,85,1.1853048513203654,7.971085753505607,0.10436001532424286,0.3,0.3,4.8,0,1,0,0,0,0,0,1,0,0
2009,85.8,118.0,287.64,3.45,72,64,21.5,78,72,1.7860384307500734,5.968707559985366,4.150252194160397,1.6,1.4,5.2,0,1,0,0,0,0,0,0,0,0
2015,6.6,8.2,223.0,8.06,97,97,26.2,97,97,1.0832870676749586,9.139273923542323,4.977423159890142,2.3,2.3,12.0,0,1,0,0,0,0,0,0,1,0
2012,13.9,17.9,128.7765,5.35,95,63,26.2,94,95,1.1388283833246218,8.656955133791396,3.418054498728578,1.1,1.1,8.6,0,1,0,0,0,0,0,0,0,1
2009,38.1,44.3,146.4255,0.66,93,93,25.1,93,93,1.1853048513203654,6.6240652277998935,2.1234584270966104,3.7,3.8,10.9,0,1,1,0,0,0,0,0,0,0
2015,44.7,57.6,198.449,0.35,82,76,30.0,80,78,1.1853048513203654,7.336936913707618,0.10436001532424286,0.1,0.1,7.9,0,1,0,0,0,0,0,1,0,0
2009,13.9,15.1,108.625,8.24,93,97,27.2,93,93,1.5068177851128535,9.755857235532103,0.2468600779315258,3.8,3.8,9.3,0,1,0,1,0,0,0,0,0,0
2014,50.1,62.4,443.15,7.28,98,89,26.7,98,98,6851649.608463351,8.197263371414335,0.7419373447293773,4.3,4.3,6.5,0,1,0,0,0,0,0,0,0,0
2004,20.0,23.5,124.7005,4.97,95,89,26.0,92,95,1.4918246976412703,8.913011922472597,1.451613827240533,2.2,2.1,8.9,0,1,0,1,0,0,0,0,0,0
2000,97.0,224.9,291.824,0.092,72,64,20.8,41,34,1.632316219955379,5.991464547107982,2.512035317176253,12.8,12.9,1.1,0,1,0,0,0,0,0,0,0,0
2014,9.1,10.5,70.354,1.3,99,97,25.2,99,99,1.1853048513203654,9.125109227613523,0.36464311358790924,13.6,13.7,6.2,0,1,1,0,0,0,0,0,0,0
2006,11.7,13.5,116.762,6.45,95,93,26.3,95,95,1.2214027581601699,9.266342562091468,1.4655675420143985,1.6,1.6,8.0,0,1,0,0,0,0,0,0,0,1
2009,27.5,31.3,162.9475,1.7,98,84,25.9,99,98,1.1502737988572274,7.620214770574455,3.3593331775634567,3.1,3.1,10.5,0,1,1,0,0,0,0,0,0,0
2001,10.3,12.0,86.116,1.89,99,99,25.5,99,99,1.0512710963760241,10.030076149635702,0.5306282510621704,6.2,6.0,8.4,0,1,0,0,0,1,0,0,0,0
2009,4.2,5.0,64.839,10.62,94,82,26.9,92,92,1.0512710963760241,10.882321065382621,3.1219242987917504,0.7,0.6,12.3,1,0,0,0,0,0,0,1,0,0
2011,82.3,143.7,376.7435,0.6,33,64,21.7,40,33,1.7506725002961012,6.553933404025811,2.5922651681085,9.2,9.1,2.0,0,1,0,0,0,0,0,0,0,0
2005,11.0,13.3,155.837,10.22,96,92,25.6,97,96,1.0202013400267558,8.562548893137034,2.1587147225743437,2.2,2.3,10.2,1,0,0,0,1,0,0,0,0,0
2010,26.1,29.5,198.813,6.02,96,65,25.8,88,96,1.1735108709918103,6.874198495453294,1.864080130807681,3.2,3.3,10.6,0,1,1,0,0,0,0,0,0,0
2012,14.7,17.1,144.2095,4.37,92,80,25.9,91,91,1.2336780599567432,8.636219897837877,3.851848282392076,2.1,1.9,7.6,0,1,0,0,0,0,0,0,0,1
2000,24.7,29.5,158.027,4.01,36,95,25.3,83,87,1.2586000099294778,8.345217926676428,2.615934912194404,1.6,1.5,7.0,0,1,0,0,0,0,0,0,0,1
2005,25.0,30.0,160.709,5.51,92,31,25.5,96,96,1.1853048513203654,8.274866820685254,1.9198594718553708,2.3,2.2,7.3,0,1,0,0,0,0,0,0,0,1
2003,82.7,116.9,292.0365,0.02,65,15,22.0,41,41,1.0202013400267558,5.808142489980444,3.205993199037187,19.7,19.9,2.4,0,1,1,0,0,0,0,0,0,0
2004,73.1,115.3,353.864,0.21,52,64,20.1,54,40,2.0750806076741224,5.659482215759621,4.32068300443283,11.5,11.3,1.8,0,1,0,0,0,0,0,0,0,0
2015,36.7,53.3,294.858,2.04,88,64,22.8,88,88,13.329771603195772,5.945420608606575,2.8763855159214247,6.4,6.2,4.4,0,1,0,0,0,0,0,0,0,0
2014,8.0,9.3,106.8025,6.15,95,93,27.1,95,95,1.2712491503214047,9.655667013509477,1.4816045409242156,1.5,1.4,8.6,0,1,0,0,0,0,0,0,0,1
2010,32.5,37.3,135.9235,0.99,80,89,26.4,85,81,1.0941742837052104,8.559486103606488,2.307572634505085,2.8,2.9,10.7,0,1,1,0,0,0,0,0,0,0
2014,14.4,16.8,112.2355,3.94,84,95,27.8,87,87,1.1735108709918103,9.15133319139615,4.798761335040277,1.6,1.5,8.4,0,1,0,0,0,0,1,0,0,0
2015,13.9,16.2,110.8405,4.24,82,96,27.9,87,87,1.1735108709918103,9.171391621837609,4.811045495735781,1.5,1.5,8.6,0,1,0,0,0,0,1,0,0,0
2004,23.5,26.4,187.6595,5.52,94,78,26.4,94,94,1.4918246976412703,9.585827256564661,0.8285518175661483,6.3,6.8,9.8,0,1,0,1,0,0,0,0,0,0
2002,17.1,20.1,167.599,3.29,86,84,30.7,91,86,1.1853048513203654,8.141481041457421,0.16551443847757333,0.2,0.2,9.1,0,1,0,0,0,0,0,1,0,0
2009,8.6,10.7,254.149,11.25,98,97,26.1,98,98,1.0832870676749586,9.033961124637857,4.96835390183965,2.3,2.5,11.5,0,1,0,0,0,0,0,0,1,0
2009,4.0,4.6,59.034,10.15,88,83,25.1,96,95,1.0618365465453596,11.29306402164216,2.167910189667444,0.5,0.4,13.3,1,0,0,0,0,0,0,0,1,0
2003,36.8,46.2,198.056,2.34,87,83,25.3,84,84,1.3909681284637803,8.087025470667701,2.5967461315435356,1.4,1.4,3.7,0,1,0,1,0,0,0,0,0,0
2005,19.7,23.1,210.0095,2.03,99,74,26.7,97,96,1.0408107741923882,8.427487278331744,0.5988365010887039,4.1,3.8,9.2,0,1,0,0,0,0,0,1,0,0
2006,5.5,6.4,109.298,10.98,96,98,26.2,96,96,1.0202013400267558,9.389406636049465,1.6695918352538475,1.8,1.8,9.9,1,0,0,0,1,0,0,0,0,0
2001,23.9,28.6,238.655,6.34,94,92,26.0,98,97,1.2840254166877414,7.261225091971921,1.366091653802371,3.5,3.6,9.3,0,1,0,0,0,0,0,0,1,0
2006,2.5,3.1,64.745,7.2,88,93,25.9,97,97,1.030454533953517,10.834331865417795,0.26236426446749106,0.9,0.9,10.2,1,0,0,0,0,0,0,0,1,0
2010,62.5,76.6,272.2445,0.48,88,82,23.9,88,88,1.5372575235482815,7.203405521083095,0.6097655716208942,5.6,5.6,4.0,0,1,0,0,0,0,0,0,0,0
2014,11.8,13.8,135.968,0.01,94,92,27.9,94,94,1.0832870676749586,8.952087643548404,1.9960599327407849,5.7,5.5,7.3,0,1,0,0,0,0,0,0,0,0
2001,34.9,43.5,165.8675,0.19,66,52,27.1,80,78,1.1388283833246218,8.36287583103188,3.2272407411998283,5.6,5.3,5.2,0,1,0,0,0,1,0,0,0,0
2001,19.4,22.8,195.111,4.77,96,89,27.5,96,96,3.5254214873653824,8.378850241794492,0.23111172096338664,3.7,3.7,10.1,0,1,0,1,0,0,0,0,0,0
2004,23.2,26.2,173.648,2.89,64,75,26.2,66,78,1.0618365465453596,7.655864017616056,1.5953389880545987,2.8,3.0,12.0,0,1,0,0,0,0,0,0,1,0
2010,96.2,157.4,326.1265,0.0,42,64,22.8,49,45,1.1388283833246218,5.6937321388027,2.5680215564985067,7.0,6.8,2.1,0,1,0,0,0,0,0,0,0,0
2006,6.1,7.2,176.8035,13.25,88,99,26.4,99,99,1.0832870676749586,9.37143829231851,2.4042387467205457,2.0,2.0,11.1,1,0,0,0,1,0,0,0,0,0
2005,44.7,57.5,253.2655,0.73,95,76,22.8,95,95,1.2092495976572515,7.306531398939505,0.5007752879124892,17.8,18.6,2.3,0,1,1,0,0,0,0,0,0,0
2000,41.0,52.2,190.7545,0.063,65,23,21.6,72,75,1.0618365465453596,7.533158807455563,5.358989046080769,11.0,11.2,6.7,0,1,1,0,0,0,0,0,0,0
2012,26.2,31.6,169.018,2.89,82,65,29.4,81,81,1.1853048513203654,8.031710375322042,0.09531017980432493,0.2,0.2,7.7,0,1,0,0,0,0,0,1,0,0
2004,9.4,11.0,79.765,1.98,98,99,25.3,98,98,1.0512710963760241,10.017887092844624,0.6043159668533296,6.1,5.9,8.4,0,1,0,0,0,1,0,0,0,0
2002,91.6,136.7,468.8655,4.56,48,64,22.8,70,64,24.532530197109352,7.426549072397305,2.9030685886905716,7.7,7.7,3.4,0,1,0,0,0,0,0,0,0,0
2008,22.0,26.1,166.1845,3.59,97,83,26.5,97,97,1.1274968515793757,7.444248649496705,1.8976198599275322,1.9,1.8,5.8,0,1,0,1,0,0,0,0,0,0
2004,97.2,139.8,319.556,4.25,58,64,23.3,47,31,33.11545195869231,6.293419278846481,1.420695787837223,8.5,8.5,3.7,0,1,0,0,0,0,0,0,0,0
2012,20.0,23.5,191.3835,2.43,99,94,27.3,99,99,1.1162780704588713,8.451907724717607,0.6259384308664954,4.0,3.7,10.1,0,1,0,0,0,0,0,1,0,0
2013,4.8,5.5,66.0915,8.2,55,86,26.9,91,91,1.1051709180756477,10.665390909906383,3.585738695194423,0.5,0.5,12.9,1,0,0,0,0,0,1,0,0,0
2010,15.4,18.0,139.9575,2.94,94,56,26.9,94,94,1.7860384307500734,8.494947582468917,1.3376291891386096,1.8,1.7,8.9,0,1,0,1,0,0,0,0,0,0
2005,15.5,18.1,162.285,9.63,98,96,25.4,97,97,1.0408107741923882,8.748304912379623,3.1054831375131102,3.3,3.8,10.1,1,0,0,0,1,0,0,0,0,0
2003,27.3,35.5,212.4255,4.42,52,19,22.4,85,84,1.010050167084168,7.566311014772463,4.431411859854625,1.0,9.7,8.0,0,1,1,0,0,0,0,0,0,0
2013,26.3,31.7,166.4095,0.16,66,57,28.4,75,68,1.1388283833246218,8.475328987317539,3.531055368920369,5.3,5.1,6.6,0,1,0,0,0,1,0,0,0,0
2005,23.0,25.9,186.471,5.75,95,84,26.5,95,95,1.4918246976412703,9.641083287268616,0.8329091229351039,6.3,6.7,10.0,0,1,0,1,0,0,0,0,0,0
2005,21.2,25.1,208.5415,2.68,89,85,26.6,89,89,1.3498588075760032,8.052296499538647,1.9530276168241774,1.9,1.8,6.0,0,1,0,1,0,0,0,0,0,0
2005,3.8,4.5,64.2915,8.65,96,84,25.6,97,95,1.0941742837052104,10.412080686149404,4.077028840012413,0.5,0.5,9.2,1,0,0,0,1,0,0,0,0,0
2011,27.9,33.8,172.0465,0.18,77,77,28.1,82,79,1.1388283833246218,8.347353412124338,3.4572626055951043,5.3,5.1,6.6,0,1,0,0,0,1,0,0,0,0
2014,27.7,47.0,181.864,0.19,47,49,28.1,52,43,1.1388283833246218,6.881411303642535,2.9811261211646287,6.3,6.1,5.6,0,1,0,0,0,1,0,0,0,0
2006,8.2,9.6,81.046,2.46,92,93,27.6,94,92,1.1388283833246218,10.84345574776464,1.840549633397487,5.1,4.9,9.3,0,1,0,0,0,1,0,0,0,0
2004,17.2,20.1,117.639,0.61,82,82,27.2,84,81,1.1388283833246218,7.304515946460155,2.935451342669061,6.5,6.3,5.4,0,1,0,0,0,1,0,0,0,0
2002,108.5,165.8,551.1775,1.6,45,64,21.7,42,44,38.09183672539902,6.169610732491456,1.5686159179138452,1.2,1.2,3.0,0,1,0,0,0,0,0,0,0,0
2001,7.6,8.8,147.2585,7.74,95,96,25.5,98,98,1.0832870676749586,8.916237731721479,3.6699514442284173,2.5,2.7,11.1,1,0,0,0,1,0,0,0,0,0
2005,89.2,144.5,299.375,3.69,83,64,22.6,73,68,20.49129168419294,6.333279628139691,0.85015092936961,9.2,9.0,2.3,0,1,0,0,0,0,0,0,0,0
2005,6.5,7.6,142.2435,9.07,98,90,25.7,99,99,1.0832870676749586,9.056023011591826,3.66791114767774,2.3,2.5,11.6,1,0,0,0,1,0,0,0,0,0
2000,23.9,28.5,181.1765,0.82,70,65,25.4,67,71,1.1853048513203654,7.950854857719988,0.16551443847757333,1.7,1.7,6.5,0,1,0,0,0,0,0,1,0,0
2005,18.9,21.5,173.295,6.37,99,83,26.0,93,99,1.4918246976412703,8.774312958285378,0.10436001532424286,3.7,3.7,7.9,0,1,0,1,0,0,0,0,0,0
2005,26.4,34.2,210.905,4.19,49,19,22.5,90,89,1.010050167084168,7.639642287858013,4.469694046425642,1.0,9.7,8.7,0,1,1,0,0,0,0,0,0,0
2009,72.7,107.3,388.763,0.69,74,64,22.3,74,74,33.11545195869231,6.139884552226255,3.173459961337718,3.7,3.6,3.1,0,1,0,0,0,0,0,0,0,0
2010,13.8,15.0,106.695,8.66,86,96,27.3,90,86,1.4622845894342245,9.728240909414135,0.2468600779315258,3.8,3.8,9.4,0,1,0,1,0,0,0,0,0,0
2001,98.8,181.1,323.509,0.6,78,64,21.6,56,49,2.691234472349262,6.464588303689961,2.50715725872282,1.8,1.7,1.3,0,1,0,0,0,0,0,0,0,0
2004,4.1,4.8,64.721,13.03,88,91,26.5,98,98,1.0408107741923882,10.118558608759452,0.6981347220709843,0.9,1.0,10.5,1,0,0,0,1,0,0,0,0,0
2006,41.5,48.6,146.13,0.85,52,68,26.0,80,78,1.1853048513203654,8.161089512845797,2.2491843162669305,2.9,2.9,10.7,0,1,1,0,0,0,0,0,0,0
2010,61.9,121.9,267.262,0.11,70,64,21.5,75,70,1.0832870676749586,6.095824562432225,2.859912550411456,1.7,1.6,1.4,0,1,0,0,0,0,0,0,0,0
2001,40.6,47.4,223.721,5.7,57,65,24.8,99,99,1.030454533953517,6.620073206530356,1.7833912195575383,3.6,3.6,9.9,0,1,1,0,0,0,0,0,0,0
2000,106.5,159.3,344.252,2.05,69,64,20.7,42,40,2.915379499976997,5.863631175598097,3.8734900557113625,12.4,12.3,3.3,0,1,0,0,0,0,0,0,0,0
2012,2.4,2.9,80.7685,10.95,88,96,26.2,96,96,1.0202013400267558,9.911356510914823,1.1184149159642893,1.5,1.5,11.7,1,0,0,0,1,0,0,0,0,0
2001,4.3,5.2,121.6575,13.64,92,98,26.5,97,98,1.0832870676749586,9.452187908084165,2.4176979000945504,2.2,2.3,10.9,1,0,0,0,1,0,0,0,0,0
2003,21.0,24.9,125.2595,5.01,98,96,27.0,98,98,1.161834242728283,9.058121158998672,4.64515983420425,1.9,1.8,7.1,0,1,0,0,0,0,1,0,0,0
2004,6.1,7.0,115.04,12.42,96,98,26.0,96,96,1.0202013400267558,9.30054663986233,1.667706820558076,1.9,1.9,9.7,1,0,0,0,1,0,0,0,0,0
2012,70.2,92.7,527.8865,2.47,95,82,24.8,93,95,105873.47202785847,7.001245622069476,1.1019400787607843,6.4,6.2,5.9,0,1,0,0,0,0,0,0,0,0
2002,45.7,53.9,188.7425,2.73,99,97,25.0,99,99,1.0408107741923882,7.2078598714324755,3.2684276036974484,3.3,3.3,9.4,0,1,1,0,0,0,0,0,0,0
2015,3.8,4.4,70.7555,6.68,96,83,27.1,99,99,1.0618365465453596,9.802838144386198,2.469793011977952,0.8,0.7,10.6,1,0,0,0,1,0,0,0,0,0
2001,5.1,6.6,108.319,12.63,70,56,25.6,96,97,1.2460767305873808,9.8536143020404,2.4300984132930052,0.8,0.6,6.9,1,0,0,0,1,0,0,0,0,0
2014,14.6,16.3,146.3165,6.91,96,89,26.3,96,93,1.2712491503214047,9.128696382935672,5.316942830671201,2.7,2.7,7.4,0,1,0,0,0,0,0,0,0,1
2000,12.6,15.5,156.232,6.86,98,58,25.1,96,95,1.1051709180756477,9.551871220788255,0.0769610411361284,3.7,3.6,7.0,0,1,0,1,0,0,0,0,0,0
2009,6.9,8.1,127.9145,0.5,96,95,24.9,97,97,1.1972173631218102,8.963160242833732,3.358289880650879,8.3,8.2,9.6,0,1,1,0,0,0,0,0,0,0
2004,6.2,7.8,194.0975,15.52,90,97,25.8,95,94,1.0832870676749586,9.494315582496638,0.8586616190375188,2.2,2.3,12.0,1,0,0,0,1,0,0,0,0,0
2000,20.0,23.6,193.722,4.7,76,89,27.4,91,91,3.095656500124711,8.360773272144936,0.22314355131420976,3.8,3.7,10.1,0,1,0,1,0,0,0,0,0,0
2001,104.4,151.4,332.218,6.79,46,64,22.7,43,35,31.18695816830946,8.851377097519439,0.4885800148186709,1.6,1.4,5.4,0,1,0,0,0,0,0,0,0,0
2009,45.9,59.3,236.9375,0.78,66,65,24.9,70,73,1.4333294145603401,7.639161171659173,2.096790180014449,1.4,1.3,3.9,0,1,0,0,0,0,0,1,0,0
2011,2.1,2.6,50.5745,6.84,88,90,26.1,95,95,1.0512710963760241,10.79824816585992,0.27763173659827955,0.9,0.9,11.0,1,0,0,0,0,0,0,0,1,0
2004,30.6,37.5,171.3545,0.14,97,64,28.1,97,97,1.1388283833246218,7.9229859587111955,4.319752215189378,3.3,3.2,5.4,0,1,0,0,0,0,0,0,0,0
2005,49.4,64.7,213.586,0.61,50,35,29.2,74,79,1.1853048513203654,7.3343293503005365,0.08617769624105241,0.2,0.2,7.3,0,1,0,0,0,0,0,1,0,0
2001,17.8,20.9,159.105,8.15,53,83,26.3,87,70,1.4918246976412703,8.514790306799927,3.2445435716167785,1.8,1.7,6.4,0,1,0,0,0,0,0,0,0,1
2014,24.6,29.5,165.9155,1.69,73,83,26.4,55,73,1.030454533953517,8.269756947532983,2.7917784166329227,1.2,1.2,6.4,0,1,0,1,0,0,0,0,0,0
2014,3.7,4.3,71.3785,7.06,96,83,27.1,99,99,1.0725081812542165,9.798182590890704,2.4756977107026903,0.8,0.7,10.5,1,0,0,0,1,0,0,0,0,0
2013,9.7,11.3,72.3455,1.16,99,99,25.0,99,99,1.1853048513203654,9.100078977718645,0.35065687161316933,13.7,13.8,5.7,0,1,1,0,0,0,0,0,0,0
2002,7.6,9.0,184.567,13.28,88,99,26.1,98,99,1.0832870676749586,9.193194213141211,2.412335956953165,2.2,2.2,10.3,1,0,0,0,1,0,0,0,0,0
2000,3.3,4.5,72.954,7.96,83,86,22.5,98,85,1.1853048513203654,10.355581761238296,4.850779482017964,1.6,1.4,10.7,1,0,1,0,0,0,0,0,0,0
2012,47.5,56.3,157.265,0.48,83,64,20.9,83,83,1.0941742837052104,7.148345743900068,0.7561219797213337,11.2,11.3,4.5,0,1,0,0,0,0,0,1,0,0
2014,20.9,23.5,171.816,6.18,96,65,26.4,95,96,1.1388283833246218,7.005789019253503,1.922787731634459,3.3,3.4,10.8,0,1,1,0,0,0,0,0,0,0
2015,3.7,4.3,49.384,9.62,88,87,25.2,96,97,1.0512710963760241,11.347779558576363,2.2278615467981093,0.4,0.3,13.4,1,0,0,0,0,0,0,0,1,0
2014,14.9,17.3,92.8345,1.48,98,95,26.2,98,98,1.0408107741923882,8.318498320504338,2.4898941912990393,6.5,6.4,6.9,0,1,0,0,0,0,0,0,0,0
2006,20.9,24.7,132.7085,0.017,98,65,25.5,99,98,1.161834242728283,8.509161019718974,4.27039650600246,7.4,7.7,9.1,0,1,0,0,0,1,0,0,0,0
2009,60.0,81.2,267.026,3.53,60,83,24.5,65,65,2.45960311115695,7.242082359256962,2.379546134130174,4.1,4.1,4.7,0,1,0,1,0,0,0,0,0,0
2004,12.5,14.7,168.877,8.68,83,61,25.8,84,83,1.4918246976412703,8.93313654381203,0.09531017980432493,4.0,4.0,7.7,0,1,0,1,0,0,0,0,0,0
2011,6.1,7.2,171.138,10.11,89,92,26.3,92,92,1.2586000099294778,9.345919666218006,1.1184149159642893,2.2,2.3,12.6,1,0,0,0,1,0,0,0,0,0
2007,3.8,4.6,78.0555,12.54,85,56,25.3,85,85,1.0832870676749586,10.690557587372846,2.2300144001592104,1.7,1.9,11.6,1,0,0,0,1,0,0,0,0,0
2011,59.3,114.5,264.2335,0.13,75,64,21.6,40,75,1.0832870676749586,6.082218910376446,2.896464271895322,1.5,1.3,1.5,0,1,0,0,0,0,0,0,0,0
2013,72.1,100.2,326.2985,8.95,46,64,23.8,57,30,83.93141691026881,9.504724932487637,0.7323678937132266,8.6,8.6,5.5,0,1,0,0,0,0,0,0,0,0
2008,50.3,74.8,253.3645,0.61,77,64,21.0,77,77,1.1051709180756477,6.244166900663736,3.044522437723423,7.8,7.7,5.9,0,1,0,0,0,0,0,0,0,0
2009,54.5,89.4,422.591,1.73,93,64,22.4,93,93,105.63608215665951,5.849324779946859,2.7166795278002644,6.9,6.8,4.1,0,1,0,0,0,0,0,0,0,0
2001,93.7,140.1,462.512,4.67,59,64,22.7,70,66,38.86134287133247,7.476472381163905,2.8820035082256483,7.9,7.9,3.3,0,1,0,0,0,0,0,0,0,0
2002,24.3,27.4,190.037,5.25,88,77,26.1,96,96,1.4918246976412703,9.384461732204798,0.8241754429663495,6.5,7.0,9.4,0,1,0,1,0,0,0,0,0,0
2013,45.7,59.0,203.4325,6.25,87,65,22.6,86,87,1.1735108709918103,7.555905093611346,2.020222182019865,9.0,9.1,5.1,0,1,1,0,0,0,0,0,0,0
2015,3.8,4.5,69.3335,9.59,88,86,27.1,96,96,1.0832870676749586,10.723399533887571,4.191471272952824,0.8,0.6,12.8,1,0,0,0,0,0,0,0,1,0
2012,58.8,90.5,208.0,0.0,80,64,24.7,80,80,1.1853048513203654,7.282761179605593,1.5496879080283263,8.3,8.1,4.0,0,1,0,0,0,0,0,0,0,0
2011,3.5,4.1,68.994,11.49,95,86,27.2,95,95,1.0725081812542165,10.741211154203317,1.7191887763932197,0.3,0.2,10.9,1,0,0,0,1,0,0,0,0,0
2013,35.8,49.1,341.1665,2.45,89,64,24.0,89,89,135.63941440846523,8.431417414394833,1.172482137234565,9.0,8.9,6.6,0,1,0,0,0,0,0,0,0,0
2002,24.7,29.6,216.117,2.85,81,81,26.2,81,81,1.4477346146633245,8.016317898503415,1.9401794743463283,2.0,1.9,5.5,0,1,0,1,0,0,0,0,0,0
2000,45.2,80.5,561.532,5.38,86,83,23.6,97,97,345326187.7300111,8.42726848388825,0.9707789171582247,12.3,12.2,7.6,0,1,0,0,0,0,0,0,0,0
2003,3.1,3.8,87.4675,12.52,95,86,25.7,99,98,1.0725081812542165,11.488622526447054,0.371563556432483,1.0,0.9,10.9,1,0,0,0,1,0,0,0,0,0
2009,9.2,10.7,71.642,0.1,99,94,29.0,99,99,1.1388283833246218,10.457401400981889,1.3402504226184837,3.3,3.2,6.6,0,1,0,0,0,1,0,0,0,0
2013,43.4,62.7,227.7835,0.85,74,64,21.2,72,74,1.2214027581601699,6.139884552226255,3.1763857732472487,7.3,7.2,6.1,0,1,0,0,0,0,0,0,0,0
2005,12.1,14.1,81.015,1.73,77,34,26.7,74,77,1.030454533953517,8.805225202632306,1.7404661748405046,4.7,4.6,7.5,0,1,0,0,0,1,0,0,0,0
2002,21.7,25.8,236.105,5.84,99,92,26.0,98,97,1.3231298123374369,7.338888133838879,1.3635373739972745,3.4,3.6,9.6,0,1,0,0,0,0,0,0,1,0
2011,3.6,4.4,79.9355,10.14,97,83,26.0,98,98,1.0832870676749586,10.594883200057266,2.488234439880675,0.9,0.9,11.2,1,0,0,0,1,0,0,0,0,0
2015,33.3,47.6,315.473,2.63,92,64,24.2,92,92,97.51439420705401,8.496582237512113,1.1969481893889715,8.2,8.1,6.7,0,1,0,0,0,0,0,0,0,0
2003,13.4,15.6,153.4715,1.79,85,96,31.4,98,90,1.1853048513203654,8.299285906897275,0.09531017980432493,0.1,0.1,9.2,0,1,0,0,0,0,0,1,0,0
2012,15.4,17.2,150.2245,7.12,96,70,26.1,96,95,1.2712491503214047,9.111403624116159,5.299766316313141,2.8,2.8,7.3,0,1,0,0,0,0,0,0,0,1
2006,6.6,7.9,136.22,10.89,99,97,25.8,99,99,1.010050167084168,9.425209786838147,1.851599469584072,1.4,1.5,10.9,1,0,0,0,1,0,0,0,0,0
2007,5.8,6.8,176.0225,12.54,88,99,26.5,99,99,1.0832870676749586,9.37568530456302,2.403334996094189,1.9,1.9,11.3,1,0,0,0,1,0,0,0,0,0
2007,6.1,7.0,142.313,10.39,98,98,25.9,99,99,1.0832870676749586,9.185022563991893,3.6666338451666167,2.2,2.4,11.8,1,0,0,0,1,0,0,0,0,0
2002,17.0,20.1,171.852,13.15,99,97,25.0,98,98,1.0512710963760241,8.561401446080557,3.123685637864452,3.7,4.1,9.6,1,0,0,0,1,0,0,0,0,0
2008,37.5,55.1,470.9335,1.01,83,64,23.6,83,83,601.8450378720822,8.305236829492593,1.1118575154181303,11.5,11.4,6.1,0,1,0,0,0,0,0,0,0,0
2000,26.2,31.5,241.2055,6.76,92,92,25.9,97,95,1.2586000099294778,7.199678345691172,1.366091653802371,3.6,3.7,9.0,0,1,0,0,0,0,0,0,1,0
2009,80.6,128.7,279.156,6.12,61,64,22.7,36,60,4.014850052994201,7.993957547573565,3.157425862551978,9.3,9.2,4.7,0,1,0,0,0,0,0,0,0,0
2008,25.3,29.5,108.0665,0.37,91,96,24.9,92,93,1.0202013400267558,8.257644958208228,3.5759906720353185,6.0,5.9,6.7,0,1,0,0,0,0,0,0,0,0
2011,13.7,14.8,104.765,8.69,91,94,27.4,91,91,1.4190675485932571,9.718362068409439,0.2468600779315258,3.8,3.8,9.9,0,1,0,1,0,0,0,0,0,0
2003,49.7,65.0,268.3975,0.53,95,77,22.5,96,95,1.2712491503214047,7.21081845347222,0.4885800148186709,18.3,19.1,2.3,0,1,1,0,0,0,0,0,0,0
2003,45.0,65.6,214.3245,6.7,43,71,23.8,94,94,2.4351296512898744,7.036148493750536,0.13976194237515863,7.4,7.4,4.4,0,1,0,1,0,0,0,0,0,0
2009,110.6,167.7,432.5825,3.98,84,60,22.6,81,84,3.2219926385284996,6.255750041753367,1.9837562915454279,8.5,8.4,3.0,0,1,0,0,0,0,0,0,0,0
2009,23.9,28.6,235.233,6.56,97,97,25.3,96,95,1.0202013400267558,7.830425617820331,1.3001916620664788,2.2,2.3,9.1,0,1,1,0,0,0,0,0,0,0
2007,50.0,65.5,211.21,0.55,96,32,29.3,93,94,1.1853048513203654,7.309212365692763,0.09531017980432493,0.2,0.1,7.5,0,1,0,0,0,0,0,1,0,0
2011,25.3,29.5,78.776,0.46,98,68,25.5,98,99,1.0512710963760241,7.875499292445208,3.519868911379654,6.3,6.2,4.4,0,1,0,0,0,0,0,0,0,0
2013,8.4,10.2,90.6615,0.69,98,92,26.8,99,99,1.1051709180756477,10.402017898207967,0.3364722366212129,5.8,5.2,8.9,0,1,1,0,0,0,0,0,0,0
2004,4.6,5.5,76.488,9.57,88,98,25.3,98,98,1.0618365465453596,10.63226728572478,2.8495497633759097,1.0,1.0,11.5,1,0,0,0,1,0,0,0,0,0
2008,2.3,2.8,62.236,1.69,97,96,23.5,97,97,1.1274968515793757,10.705556400319987,1.7647307968401356,2.1,2.1,10.5,0,1,1,0,0,0,0,0,0,0
